station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
UW.SP2,-122.249,47.556000000000004,0.03,11.5446,6.4,X,12.0297,6.4,X,17.7749,6.4,X,11.5746,0.4851,5.7452,3.508,2.6797,4.0403,1.714766,1.778072,1.794446,25.4,2.4
TA.D03D,-123.089,47.535,0.26,28.8485,2.1,A,34.8396,3.6,B,39.9622,3.6,A,29.1085,5.9911,5.1226,3.5984,2.2042,3.5885,1.670048,3.099174,1.9096279999999999,64.8,14.8
UW.OLQN,-123.81299999999999,47.513000000000005,0.09,20.773,2.1,A,24.6583,2.1,A,30.7536,1.4,A,20.863,3.8853,6.0953,3.5222,2.934,3.7169,1.8599450000000002,1.8803,1.8352119999999998,-22.3,7.7
UW.WYNO,-123.613,47.434,0.94,17.4422,1.4,B,25.4551,1.4,A,30.774,1.4,A,18.3822,8.0129,5.3189,3.5198,2.8962,3.9355,1.715609,1.7705959999999998,1.770144,-19.2,7.9
YW.FACC,-122.579,47.401,0.11,29.1646,6.4,X,36.306,6.4,X,45.0901,6.4,X,29.2746,7.1414,8.7841,3.6862,2.6217,3.6328,1.68081,3.1884650000000003,1.770232,81.8,7.8
US.NLWA,-123.869,47.391999999999996,0.64,19.5428,1.4,A,24.2873,1.4,A,26.6878,1.4,B,20.1828,4.7445,2.4005,3.5435,3.023,3.7754,1.8599970000000001,1.8050279999999999,1.9089369999999999,9.0,14.1
XU.N050,-123.396,47.224,0.12,27.2517,1.4,A,34.3981,2.1,A,39.8828,2.1,A,27.3717,7.1464,5.4847,3.9593,1.8016,3.2682,1.859445,2.625944,1.8457560000000002,79.2,6.4
XU.N040,-123.60799999999999,47.193999999999996,0.17,24.0036,2.1,A,29.1131,2.1,C,31.2496,2.1,A,24.1736,5.1095,2.1365,3.5188,1.8641,3.2618,1.8599240000000001,2.683547,1.770648,-12.6,15.0
XU.N030,-123.859,47.19,0.14,21.7775,3.6,A,26.8095,2.1,A,36.1221,2.1,A,21.9175,5.032,9.3126,3.5417,2.8126,3.8049,1.708953,3.21137,1.770401,-76.5,9.4
CL.TKEY,-122.772,47.178999999999995,0.05,45.3046,6.4,A,49.1312,6.4,C,62.7247,6.4,B,45.3546,3.8266,13.5935,3.8609,1.8668,3.2724,1.856484,3.488322,1.8075720000000002,-26.7,15.7
XU.N025,-123.916,47.159,0.09,21.4357,3.6,A,22.6908,6.4,B,27.5189,3.6,B,21.5257,1.2551,4.8281,3.5442,1.4262,4.0288,1.682693,1.783621,1.9078389999999998,89.9,5.7
XU.N060,-123.164,47.151,0.15,29.8262,1.4,A,34.5548,1.4,B,37.4757,1.4,A,29.9762,4.7286,2.9209,3.9054,2.2203,3.4688,1.859733,2.0691349999999997,1.771391,11.3,13.0
XU.N020,-123.971,47.123999999999995,0.16,23.2324,6.4,A,27.2338,6.4,A,29.4714,6.4,A,23.3924,4.0014,2.2376,3.5578,2.0987,4.0483,1.858424,3.3520269999999996,1.9100119999999998,-54.9,15.8
XU.S015,-123.65799999999999,47.117,0.04,26.8592,2.1,A,30.7955,3.6,A,32.9336,2.1,B,26.8992,3.9363,2.1381,3.9344,1.658,4.0173,1.8592419999999998,3.496984,1.772882,89.2,2.8
UW.WISH,-123.771,47.117,0.04,24.5391,1.4,A,29.6734,2.9,A,34.9331,2.9,A,24.5791,5.1343,5.2597,3.8556,2.8408,3.8405,1.858803,1.7881580000000001,1.908267,64.5,5.0
TA.D03A,-123.771,47.11600000000001,0.03,25.4564,2.1,A,25.4578,2.1,A,34.8298,2.9,A,25.4864,0.0014,9.372,3.9508,1.5078,3.7552,1.841804,3.494562,1.814577,-18.9,16.0
TA.D04A,-122.803,47.111000000000004,0.03,34.798,2.1,C,41.6391,6.4,B,51.7766,6.4,B,34.828,6.8411,10.1375,3.9262,1.6868,3.2623,1.8589220000000002,3.010908,1.862643,-89.8,3.5
XU.N015,-124.03299999999999,47.11,0.05,20.5021,2.1,A,20.6558,1.4,A,27.9531,6.4,A,20.5521,0.1537,7.2973,3.5054,1.7028,4.0495,1.859189,1.7733729999999999,1.812323,18.3,20.0
XU.S010,-123.839,47.06100000000001,0.07,25.6903,2.1,B,27.4867,1.4,B,37.3313,2.1,B,25.7603,1.7964,9.8446,3.5048,1.413,3.6979,1.6702240000000002,3.4605099999999998,1.895319,89.4,14.9
XU.N010,-124.137,47.06,0.01,15.5804,2.1,C,15.6439,6.4,C,31.3658,6.4,C,15.5904,0.0635,15.7219,3.5036,1.7669,4.0497,1.681271,1.770332,1.865694,-87.3,9.8
XU.S020,-123.55,47.056999999999995,0.08,24.5844,2.1,A,29.0896,2.1,A,39.9709,2.1,A,24.6644,4.5052,10.8813,3.5033,2.6352,4.0469,1.670682,1.771175,1.7718009999999997,4.7,15.6
XU.N070,-122.715,47.052,0.0,34.2383,2.9,B,44.1715,2.9,B,46.4852,2.1,B,34.2383,9.9332,2.3137,3.8771,2.6146,3.802,1.670295,3.490936,1.8891639999999998,-87.0,1.3
XU.S040,-123.027,47.04,0.17,34.9243,1.4,A,38.6786,2.1,A,44.9188,2.1,A,35.0943,3.7543,6.2402,3.9419,2.1651,3.3835,1.835384,2.114591,1.822817,14.1,14.8
XU.S030,-123.29700000000001,47.028999999999996,0.11,27.113,2.1,A,32.6244,2.1,A,43.2809,1.4,A,27.223,5.5114,10.6565,3.6277,2.0684,4.0474,1.859911,1.947399,1.7776349999999999,10.8,14.7
XU.S050,-122.87100000000001,47.007,0.06,35.0805,1.4,A,41.4029,6.4,A,48.7991,1.4,A,35.1405,6.3224,7.3962,3.8926,2.7707,3.9055,1.8112830000000002,2.336052,1.8518759999999999,88.0,13.1
XU.S060,-122.51799999999999,46.997,0.13,29.808,6.4,X,29.8938,6.4,X,43.5216,6.4,X,29.938,0.0858,13.6278,3.9389,1.5857,3.8916,1.678311,3.4982029999999997,1.9085470000000002,-30.5,13.2
UW.RWW,-123.54299999999999,46.965,0.01,26.7179,1.4,A,28.655,2.1,A,37.5788,2.1,A,26.7279,1.9371,8.9238,3.6641,1.6086,3.3828,1.8393599999999999,1.7742759999999997,1.774861,-31.2,7.7
UW.CORE,-123.914,46.926,0.05,19.0055,2.1,B,25.2008,6.4,C,25.6153,2.1,B,19.0555,6.1953,0.4145,3.5778,1.442,3.6527,1.858377,2.313384,1.780792,-30.4,24.7
XU.W070,-123.228,46.925,0.41,30.1642,1.4,A,35.5443,2.1,A,41.2083,1.4,A,30.5742,5.3801,5.664,3.6795,2.6833,4.002,1.858486,1.977416,1.7700650000000002,-12.9,15.2
X4.LR14,-123.225,46.868,-0.0,26.6404,2.1,C,35.4989,2.1,C,35.4989,2.1,C,26.6404,8.8585,0.0,3.5662,2.318,3.3451,1.843643,1.892882,1.8759080000000001,-33.0,14.9
CC.PR05,-121.949,46.842,1.55,,,D,,,D,,,D,,,,,,,,,,,
XU.S055,-122.73100000000001,46.839,0.17,41.6133,3.6,A,46.2265,2.9,A,48.4034,2.9,B,41.7833,4.6132,2.1769,3.8747,2.504,3.6196,1.857589,3.4847839999999994,1.906039,13.0,14.3
UW.LEID,-123.465,46.82899999999999,0.53,23.3931,1.4,A,27.2405,6.4,B,40.7737,2.9,B,23.9231,3.8474,13.5332,3.5023,1.7568,4.05,1.859778,2.45765,1.901259,0.1,12.1
UW.ARTIC,-123.759,46.805,0.13,23.0431,3.6,B,32.2756,3.6,B,37.1209,3.6,B,23.1731,9.2325,4.8453,3.9582,1.5054,3.2603,1.859709,3.4919620000000005,1.773395,5.3,18.2
UW.DEAL,-123.559,46.74100000000001,0.32,26.1505,1.4,A,29.4639,1.4,A,35.8862,1.4,A,26.4705,3.3134,6.4223,3.5826,2.532,4.0492,1.8589849999999999,1.7709720000000002,1.770819,16.5,4.5
XU.W080,-123.285,46.716,0.24,29.4541,2.1,A,33.8879,2.1,A,37.013,1.4,B,29.6941,4.4338,3.1251,3.6061,2.3019,3.5186,1.857436,1.7702330000000002,1.8989369999999999,12.5,17.7
YW.FACD,-122.852,46.662,0.18,40.6536,3.6,C,48.2319,6.4,X,57.7473,6.4,X,40.8336,7.5783,9.5154,3.9031,1.6704,3.3196,1.832313,3.478628,1.903964,-37.9,19.7
UW.WHGC,-123.73,46.656000000000006,0.01,19.0583,1.4,A,25.4535,2.9,A,28.3226,2.9,A,19.0683,6.3952,2.8691,3.5057,1.8572,3.2658,1.7204549999999998,1.770461,1.77145,27.2,23.3
XU.W090,-123.42399999999999,46.597,0.61,26.3096,1.4,A,31.6255,2.1,A,43.3855,3.6,C,26.9196,5.3159,11.76,3.808,2.397,3.6905,1.790809,3.4973300000000003,1.770763,-31.9,5.7
TA.E04A,-122.72,46.593,0.22,27.2289,6.4,X,37.4161,6.4,X,38.4954,6.4,C,27.4489,10.1872,1.0793,3.9582,1.456,3.2656,1.704057,3.498901,1.769996,66.6,14.1
CL.LEBA,-123.56299999999999,46.54600000000001,0.08,24.5596,2.1,A,28.7999,2.1,A,31.0267,1.4,B,24.6396,4.2403,2.2268,3.6965,2.166,3.2719,1.859705,2.10277,1.7729759999999999,-11.0,15.1
XU.E070,-122.454,46.50899999999999,0.28,49.164,6.4,X,59.5536,6.4,X,66.7388,6.4,X,49.444,10.3896,7.1852,3.6348,2.3645,3.5069,1.7103279999999998,1.922478,1.771251,40.7,27.0
UW.NEMA,-123.75,46.497,0.51,20.6571,2.1,A,26.421,2.9,A,31.265,2.9,A,21.1671,5.7639,4.844,3.6462,2.6065,3.6971,1.802616,1.7700360000000002,1.908225,28.7,11.6
UW.TOLE,-122.845,46.453,0.08,40.299,2.9,A,50.0956,3.6,A,56.6202,3.6,A,40.379,9.7966,6.5246,3.9318,2.4984,3.9545,1.8600130000000001,2.490034,1.902036,33.7,19.6
XD.ME03,-122.57600000000001,46.452,0.31,36.2106,2.1,C,43.2415,6.4,X,50.3296,6.4,X,36.5206,7.0309,7.0881,3.8784,1.5189,3.2658,1.830213,3.418461,1.8363650000000002,69.8,1.8
XD.ME02,-122.70700000000001,46.43899999999999,0.16,39.1132,6.4,X,48.4739,6.4,X,50.7454,6.4,C,39.2732,9.3607,2.2715,3.5788,2.505,3.2936,1.840254,3.4133730000000004,1.797061,-0.7,26.5
UW.RADR,-123.79899999999999,46.422,0.59,20.4179,2.1,A,24.1525,2.9,A,26.7487,2.1,B,21.0079,3.7346,2.5962,3.5002,1.6317,3.2607,1.845923,1.771281,1.784402,16.1,13.7
XU.W100,-123.664,46.405,0.21,21.8011,2.1,A,25.5245,2.1,A,32.131,2.1,A,22.0111,3.7234,6.6065,3.5003,2.5933,3.3396,1.8590689999999999,1.777311,1.7723080000000002,-2.1,10.6
XD.MG02,-122.735,46.373999999999995,0.16,47.5901,2.9,C,54.6439,6.4,X,59.676,6.4,A,47.7501,7.0538,5.0321,3.5036,1.5937,3.3029,1.7525400000000002,1.872686,1.780587,45.2,40.3
XD.MG03,-122.476,46.338,0.64,48.1834,6.4,X,53.6702,6.4,X,63.4675,6.4,X,48.8234,5.4868,9.7973,3.5505,2.5178,4.0026,1.707112,3.206688,1.769975,-32.4,27.8
YW.FACF,-122.77600000000001,46.332,0.22,47.1554,5.0,C,57.1898,6.4,C,57.1898,6.4,C,47.3754,10.0344,0.0,3.6329,3.0156,4.0353,1.859313,2.045066,1.909994,55.6,38.1
XD.MH03,-122.594,46.268,0.37,47.6571,6.4,X,59.4675,6.4,X,65.4195,6.4,B,48.0271,11.8104,5.952,3.5112,2.6317,3.4255,1.830827,1.7729599999999999,1.820844,39.7,32.2
UW.MEGW,-123.87700000000001,46.266000000000005,0.35,20.4252,2.1,A,23.2854,2.1,A,28.7828,2.1,A,20.7752,2.8602,5.4974,3.5254,1.9284,3.3767,1.8580299999999998,1.7748389999999998,1.774721,13.5,7.7
XD.MH01,-122.806,46.263999999999996,0.2,34.0438,6.4,C,41.2216,6.4,X,44.935,6.4,B,34.2438,7.1778,3.7134,3.5756,1.31,3.4061,1.6701529999999998,3.495115,1.909427,78.3,11.2
XD.MI02,-122.666,46.216,0.35,49.4846,3.6,B,57.2175,6.4,X,60.8347,3.6,B,49.8346,7.7329,3.6172,3.5004,2.5282,3.8501,1.7035770000000001,2.420299,1.9063400000000001,89.9,8.2
XU.W110,-123.285,46.2,0.35,26.4434,2.9,C,30.2254,3.6,B,38.5866,3.6,B,26.7934,3.782,8.3612,3.5491,1.7655,3.2602,1.670339,2.855225,1.770566,60.4,12.4
XD.MJ01,-122.811,46.193999999999996,0.34,43.5201,3.6,C,48.1405,2.9,C,55.195,2.9,C,43.8601,4.6204,7.0545,3.9182,2.371,3.5608,1.732198,2.790679,1.775107,-2.1,17.9
XD.MJ02,-122.70100000000001,46.138999999999996,0.32,44.7661,6.4,X,56.0722,6.4,X,58.9213,6.4,X,45.0861,11.3061,2.8491,3.9553,1.5968,4.0487,1.8035290000000002,1.7896419999999997,1.77615,17.9,37.5
UO.WIKI,-123.585,46.106,0.82,27.4263,2.9,A,30.0787,1.4,A,35.7866,1.4,A,28.2463,2.6524,5.7079,3.7361,1.753,3.4164,1.859907,2.3940099999999997,1.771455,-0.5,15.7
CL.RAIN,-123.01100000000001,46.083,0.24,31.3384,2.9,C,40.6314,2.9,B,44.8585,2.9,B,31.5784,9.293,4.2271,3.9594,2.6761,3.9528,1.8599029999999999,1.9921900000000001,1.9084189999999999,-89.9,14.8
YW.FACG,-123.176,46.075,0.11,32.1725,3.6,C,39.8644,3.6,C,39.8644,6.4,C,32.2825,7.6919,0.0,3.5261,1.3299,3.7257,1.804401,1.862095,1.903562,69.4,18.7
XD.ML03,-122.516,46.062,0.36,36.4322,6.4,X,43.4491,6.4,X,54.7235,6.4,X,36.7922,7.0169,11.2744,3.7083,1.8927,3.2618,1.774101,1.771438,1.7787419999999998,89.9,22.7
UW.SEAS2,-123.896,46.036,0.06,22.1457,1.4,A,26.7654,2.9,B,35.2497,2.9,B,22.2057,4.6197,8.4843,3.6823,2.1877,3.8858,1.8506099999999999,1.7904650000000002,1.7708840000000001,-8.3,15.7
XD.MM02,-122.684,46.02,0.21,50.7207,6.4,X,60.6916,6.4,X,70.4664,6.4,X,50.9307,9.9709,9.7748,3.7326,2.7926,3.9985,1.8577400000000002,2.7889779999999997,1.9099409999999999,27.7,44.8
UO.MONKS,-123.00399999999999,45.994,0.38,36.9807,3.6,C,46.8756,3.6,A,51.9676,3.6,A,37.3607,9.8949,5.092,3.5693,1.5901,3.7295,1.7823380000000002,1.773348,1.8616700000000002,9.2,19.9
CL.YACT,-122.419,45.931999999999995,0.21,49.2367,6.4,X,49.3056,6.4,X,55.2869,6.4,X,49.4467,0.0689,5.9813,3.8085,1.8785,3.3224,1.715846,1.775938,1.894986,57.8,5.4
CL.FISH,-123.559,45.931000000000004,0.33,21.8382,1.4,C,31.4797,2.1,C,33.9767,2.1,C,22.1682,9.6415,2.497,3.7533,3.0849,4.0437,1.8206380000000002,2.880029,1.905186,-7.6,15.0
UW.FISH2,-123.499,45.928000000000004,0.15,25.5497,2.9,B,31.1202,2.9,C,42.603,2.9,C,25.6997,5.5705,11.4828,3.7289,2.1664,3.6901,1.780632,1.7948669999999998,1.773312,3.7,12.5
YW.FACH,-123.21600000000001,45.881,0.24,26.1305,1.4,C,34.0533,6.4,C,42.3498,6.4,C,26.3705,7.9228,8.2965,3.5939,1.9172,3.2625,1.794429,3.070415,1.7711880000000002,-12.2,17.8
UO.KUHN,-122.896,45.785,0.09,47.686,2.9,C,58.6126,3.6,B,61.3143,3.6,B,47.776,10.9266,2.7017,3.9581,2.8865,3.6,1.728304,2.3031349999999997,1.7733889999999999,-8.8,23.8
UO.NBFR,-123.853,45.726000000000006,0.01,19.9995,2.1,A,25.1595,2.1,A,31.352,2.1,A,20.0095,5.16,6.1925,3.5193,2.355,3.585,1.7116189999999998,1.770658,1.8490380000000002,-2.9,14.5
UO.TRIPT,-123.64399999999999,45.63,0.98,23.4266,2.1,A,30.7386,6.4,A,38.4392,6.4,A,24.4066,7.312,7.7006,3.897,1.9688,3.305,1.7260970000000002,1.789618,1.7700150000000001,37.8,21.4
UO.PF27,-122.76,45.545,0.33,39.1206,6.4,X,44.7593,6.4,X,49.2427,6.4,X,39.4506,5.6387,4.4834,3.8872,2.5938,3.2791,1.670457,2.904464,1.7934189999999999,-90.0,8.9
UO.GROV,-123.15700000000001,45.538000000000004,0.1,41.3107,2.1,A,46.7794,6.4,A,52.5825,6.4,A,41.4107,5.4687,5.8031,3.9555,2.3315,3.2681,1.858728,2.881707,1.770172,5.5,18.2
TA.G03A,-123.281,45.315,0.21,38.5947,4.3,A,44.256,3.6,C,44.256,6.4,B,38.8047,5.6613,0.0,3.9328,2.2872,4.0475,1.8527259999999999,2.8906959999999997,1.8609259999999999,2.2,23.7
YW.FACJ,-123.289,45.29600000000001,0.17,37.5302,1.4,A,41.494,3.6,A,43.9261,3.6,B,37.7002,3.9638,2.4321,3.9591,1.8859,3.2886,1.859362,3.498436,1.909962,33.9,17.4
UW.HEBO,-123.755,45.214,0.88,22.658,1.4,A,26.8111,1.4,A,33.2868,1.4,A,23.538,4.1531,6.4757,3.5174,2.0505,3.2605,1.7656509999999999,1.987466,1.7742060000000002,1.1,14.7
CL.MINN,-123.264,45.211000000000006,0.22,34.1981,3.6,C,39.9505,6.4,C,41.8832,6.4,C,34.4181,5.7524,1.9327,3.7452,2.2761,3.4178,1.859981,3.172312,1.774446,29.1,14.6
UO.LOKI,-123.10799999999999,45.062,0.16,43.4297,2.1,A,50.7852,6.4,C,50.7852,6.4,C,43.5897,7.3555,0.0,3.9034,2.7714,3.918,1.859789,2.857112,1.7716439999999998,-23.9,14.8
UO.PERY,-123.26,45.041000000000004,0.05,32.0371,2.9,C,40.6734,2.1,C,47.91,3.6,C,32.0871,8.6363,7.2366,3.5982,2.137,3.4669,1.7426490000000001,3.4927940000000004,1.8954970000000002,-11.6,6.2
YW.FAC1,-123.637,45.04,0.15,28.6677,2.1,A,32.9425,2.9,A,40.944,2.9,A,28.8177,4.2748,8.0015,3.5643,2.6505,4.0466,1.859243,2.030636,1.7715610000000002,-10.0,14.4
YW.FACK,-123.073,44.838,0.24,43.2622,2.9,A,48.9508,2.1,A,50.4313,2.1,B,43.5022,5.6886,1.4805,3.8834,2.2239,3.2969,1.859093,2.802509,1.7713,38.2,12.1
UO.UCHR,-123.87100000000001,44.835,0.74,24.7235,1.4,A,30.3954,1.4,A,34.0355,1.4,A,25.4635,5.6719,3.6401,3.7729,2.7965,3.558,1.857457,1.79882,1.9055369999999998,13.4,12.5
TA.H03A,-123.292,44.676,0.21,35.6884,3.6,A,41.3875,3.6,A,43.9205,3.6,B,35.8984,5.6991,2.533,3.8532,2.8127,3.6366,1.8569240000000002,3.3149290000000002,1.8945990000000001,35.4,3.9
TA.H02A,-124.0,44.676,0.21,23.5814,1.4,A,29.7652,2.1,A,31.5303,2.1,A,23.7914,6.1838,1.7651,3.8068,2.2239,3.8581,1.859173,3.499303,1.7712860000000001,8.2,12.5
XA.TOL0,-124.0,44.676,0.19,28.154,2.9,C,33.7242,6.4,C,36.3155,6.4,C,28.344,5.5702,2.5913,3.8082,2.063,3.7423,1.804632,3.376054,1.909334,15.6,30.0
UW.TOLO,-123.92299999999999,44.622,0.01,26.4906,1.4,C,26.6124,6.4,C,36.2118,1.4,C,26.5006,0.1218,9.5994,3.5517,2.2388,4.0497,1.6730580000000002,2.314454,1.908339,29.0,7.1
UW.BABR,-123.789,44.621,0.44,24.9478,2.1,A,30.6409,2.1,A,36.299,2.1,A,25.3878,5.6931,5.6581,3.6337,2.5995,3.7339,1.8243939999999998,3.4690519999999996,1.7818630000000002,18.8,3.3
XA.BWO0,-123.566,44.611999999999995,0.29,34.121,2.1,A,39.7628,3.6,A,45.9793,2.1,A,34.411,5.6418,6.2165,3.8203,2.8972,4.0499,1.859121,2.245962,1.9099979999999999,31.1,17.6
IU.COR,-123.305,44.586000000000006,0.11,39.6043,1.4,A,43.6222,2.1,A,45.8138,2.1,B,39.7143,4.0179,2.1916,3.9395,2.5484,3.5809,1.859982,3.188197,1.7699740000000002,30.0,11.1
CL.WLOO,-122.738,44.523,0.28,44.8593,6.4,X,45.0393,6.4,X,59.5079,3.6,C,45.1393,0.18,14.4686,3.6966,2.6302,3.8692,1.766975,1.7939319999999999,1.809418,16.8,11.9
XZ.A17,-123.241,44.434,0.08,41.6029,2.1,A,47.4765,2.1,A,53.4614,2.1,A,41.6829,5.8736,5.9849,3.8496,2.455,4.05,1.851621,2.404603,1.77,9.3,16.3
XZ.A18,-123.185,44.431000000000004,0.09,37.845,6.4,C,47.5784,6.4,C,49.0699,6.4,C,37.935,9.7334,1.4915,3.7786,3.0988,3.9745,1.849045,2.4290689999999997,1.771443,19.5,14.2
XZ.A13,-123.45100000000001,44.43,0.41,41.5054,6.4,C,48.4891,6.4,C,54.5091,6.4,C,41.9154,6.9837,6.02,3.941,2.6451,3.3115,1.816544,1.8266229999999999,1.794323,-11.8,29.2
XZ.A01,-124.04899999999999,44.428999999999995,0.05,22.9754,2.1,C,30.3559,6.4,C,36.7508,6.4,C,23.0254,7.3805,6.3949,3.6341,2.3054,3.3867,1.700063,2.051184,1.771134,88.1,19.3
XZ.A15,-123.34100000000001,44.428999999999995,0.16,36.7197,2.9,A,41.8453,2.1,A,50.2005,2.1,A,36.8797,5.1256,8.3552,3.5938,2.4796,4.0449,1.858339,2.877319,1.8190810000000002,5.4,15.6
XZ.A27,-122.73299999999999,44.427,0.29,,,D,,,D,,,D,,,,,,,,,,,
XZ.A23,-122.944,44.427,0.25,43.1145,6.4,X,49.0512,6.4,X,57.8513,6.4,X,43.3645,5.9367,8.8001,3.8287,2.364,4.0049,1.8466580000000001,3.494628,1.7989959999999998,54.7,29.9
XZ.A05,-123.852,44.427,0.59,25.4046,2.1,A,28.8173,1.4,A,31.4395,1.4,B,25.9946,3.4127,2.6222,3.5205,2.6684,3.8777,1.856043,3.3848,1.848338,-46.7,2.5
XZ.A06,-123.805,44.427,0.49,27.6013,2.1,A,32.2307,1.4,A,35.6959,1.4,A,28.0913,4.6294,3.4652,3.956,2.2443,3.2633,1.859884,3.496636,1.876689,89.4,7.5
